monopoly n.垄断，专卖；垄断物，垄断商品；垄断企业；垄断集团
dispose v.丢掉；处理；应付，解决；使倾向于
dub vt.给…起别名（或绰号）；为（电影等）配音，译制（影片）
suggest vt.暗示，委婉地说；建议；唤起，引起；使人想到；表明
fair adj.公正的；合理的，恰当的；（头发）金色的；（肤色）白皙的；晴朗的
deed n.行为；（土地或建筑物的）转让契约；证书
metallic adj.金属般的；有金属味（或声音）的；金属制的；含金属的
racket n.喧哗，吵闹；诈骗，勒索；（尤指网球、羽毛球和软式墙网球的）球拍
classical adj.受古希腊（或罗马）风格影响的；标准的；传统的，经典的
golden adj.金色的；（一段时期）幸福繁荣的
glamour n.魅力，诱惑力
superficial adj.肤浅的；表面的；外面的；粗浅的，粗略的
commit vt.犯（错，罪）；干（坏事）；献身；投入；把（某事物）移交（给…保管）；转化成（某一状态）；使（人，组织）作出保证；使承担义务；约束
heap n.【非正式】大量，许多
sociable adj.好交际的，友好的，合群的
crowd n.（多指混乱的）人群，群；（有共同兴趣或活动的）一伙人；一帮人；群众；大众；老百姓
detail n.细节；细枝末节，次要部分；详细情况；个人资料
contend v.声称；主张；辩论；争夺；竞争
liable adj.有义务的，（应）负有法律责任的；可能遭受；有…倾向的
distract v.转移；分散；使分心
issue n.问题；议题；争论点；（出版物的）期，号；颁布；分配，分发；【非正式】个人问题；个人困难
coverage n.媒体报道；覆盖范围（或方式）
flow n.流，流淌；流动物，…流
security n.安全；无威胁状态；安全感；担保, 保证；有价证券
book n.书，书籍；专著，著作集；文学作品；账目
gamble v.赌博；【喻】冒险，投机
summon v.传唤（某人）出席；召集，召开；吁求，请求；鼓起，振作
school n.学校；（大学的）系；科；院；大学；（一天的）功课；流派；上课；全校师生
exchange n.交换；互换；意见／信息等交流；兑换；交换物；商品交易所
obsession n.着迷；困扰，无法摆脱的思想（或情感）
inherent adj.内在的，固有的，本性的
slash vt.（尤指用刀或剑）砍，砍击（某物）；【非正式】大幅度削减（价格、数量等）
encourage vt.鼓励，支持；激励，鼓舞；促进，助长（活动，状态，观点）；激发
expose v.暴露；揭穿（某人或某事物的）令人不快的真相；揭露；揭发；使遭受；使冒…险；使无遮蔽（或保护）
perception n.观念，看法，印象；感知，感觉；察觉；感知能力；认识能力
cell n.【生】细胞；移动电话
commercial adj.贸易的；商业的；商务的
contradict vt.与…矛盾；与…抵触；相悖；否定…的真实性
consent n.同意，赞成，准许
feminine adj.（有关）妇女的，女性的；女子气的；娇美的，娇柔的；（词汇）阴性的
inferior adj.下级的；（地位）下等的；（质量）次的
complain vi.抱怨，发牢骚，诉苦；投诉；控告
brew v.（不受欢迎的事情）酝酿；行将发生；酿造（啤酒）
crush v.压碎；压坏；压扁；镇压，征服
function n.功能，机能，作用，目的
breach n.破坏，违反；（关系的）破裂，不和；缺口，裂口
sentiment n.观点，看法，情绪；（过于）伤感
letter n.字，字母；（尤指邮寄或信使送的）信件
comparison n.比较，对照；比拟，比喻
charge n.要价，费用；照管；主管，掌管；指责；指控；控告
correlate v.相关；关联
factor n.因素；要素；因子；系数
expand v.扩张；扩大；扩充；扩展；发展
midst n.【古】中央；中部；中间；当中
regime n.政权；组织方法，管理制度，体制；政治制度，政体
principle n.原理，原则；（个人行为）准则；规范；定理
project n.工程，事业；项目；课题；方案，计划
receipt n.收据，发票
emergency n.突发事件，紧急情况；（作定语）紧急情况下出现（或使用）的
fatal adj.致命的；灾难性的，毁灭性的；重大的，决定性的
bracket n.括号；同等级的人（或事）；托架
snack n.（两餐之间的）点心，小吃
urban adj.城市的；与城市有关的；有城市特色的
row n.（人或物的）一排，一行，一列；争吵，纠纷，严重分歧
convince v.说服，使…相信
ruin vt.毁坏；毁损；糟蹋；使遭到无可挽回的损害；对…有灾难性的影响
command n.命令，指挥；司令部
thesis n.论文，学位论文；命题，论题；论点
confront v.（问题、困难等）临到（某人）头上；面对；正视；处理（问题，困难）
component n.（尤指机械或车辆的）部件，零件；（构成整体的）组成部分，成分
intensify v.（使）变强；加强，加剧
student n.学生；研究生；学者
designate v.指定，选派；标明，指明
instinct n.本能，天性；直觉
brutal adj.野兽般的，残忍的；无情的，冷酷的；难以忍受的
quantify v.表示（或测量）…的数量，量化
original adj.开始的；首先的；原版的；有独创性的
complaint n.怨言，牢骚；抗议；控告，控诉
perfection n.尽善尽美，完美无缺
majority n.多数；大多数
segregate vt.隔离，使分开；（按照种族、性别、宗教信仰）隔开；隔离
lot adv.【非正式】很多地；非常
grain n.谷粒；谷物；（作为食物的）小麦；粮食；颗粒
provoke vt.激怒，挑衅；鼓动，激励，刺激；引起；驱使
sophisticated adj.老于世故的，见过世面的；（人，思想，反应，理解力）深刻的；精妙的；（机器，系统，技术）复杂的，精密的；先进的；水平高的，在行的
emerge v.出现；兴起；浮现，显露；变得显眼（或突出）
identify v.把（自己）认同于；将（自己）归为（某个类别或人群）；认出，辨别出（尤指值得注意的事物）；指认
carve v.雕刻，刻（硬材料）；切（熟肉）
household n.家庭，一家人
infection n.传染病；传染，传播，感染
threaten v.恐吓，恫吓；对…构成威胁，使…有危险；似将发生
commodity n.天然货物；天然商品；农产品；有用之物；贵重物品
individual adj.单个的；单独的；个人的；独特的
penalty n.（行为、情况带来的）不利后果；劣势；苦难；处罚，判罚，刑罚；罚金；害处；点球
contribute v.捐（款）；捐助，捐献；贡献；有助于；促成，促使
cancer n.癌，恶性肿瘤；癌症
modify v.修改，更改；改变；【生】使改形，使转化
disease n.病，疾病；不健全，弊端
electric adj.电的；电动的；充电的；能发电的；令人激动的
hamper v.妨碍；阻碍
sensitive adj.敏感的；灵敏的；（市场）脆弱的；易受伤害的；感光的；善解人意的；保密的；限制透露的
rap n.说唱音乐；叩击；快速的敲击
levy n.征税，税款
cite v.引用（文章，书本，作家）以作为论据或说明之证，引证；举例；嘉奖
complicated adj.错综复杂的；混乱的，令人困惑的；结构（或成分）复杂的；费解的
role n.作用；任务；职责；（演员扮演的）角色，社会角色
disguise v.伪装；掩饰，掩盖
mutual adj.（感情，行动）相互的，彼此的；共同的
cape n.斗篷，披肩；海角，岬
firm adj.结实的，坚固的；坚信的；坚定的
intrigue n.阴谋，诡计，密谋 v. 激起…的好奇心（或兴趣），迷住；耍阴谋，施诡计
revision n.修改，修正，修订；修订本，订正版
warrant v.使有必要；使正当；使恰当；需要；值得；保证, 担保
hierarchy n.等级制度，分等级的组织
medium adj.中等的；中号的；适中的
devastating adj.毁灭性的；极具破坏性的；令人震惊的；强有力的，极有效的
exhausted adj.筋疲力尽的，疲惫不堪的
deceive vt.（某事）使（某人）以错误印象，误导（某人）；欺骗，蒙蔽，行骗
change v.变化, 改变, 变更, 转换
trend n.趋向，趋势，倾向
delicate adj.易碎的，易坏的，脆弱的；细腻的；精巧的，精美的，精致的
reaction n.反应，反响；化学反应；（人对外部刺激的）反应力
fabricate v.制造；编造；捏造；装配
compromise n.折中状态；折中（办法）；妥协
morality n.道德；道德准则；道德体系
decrease v.减少，减小，减弱，降低
label n.标签，签条；标记，符号；（某人或物的）称号；绰号
restrain v.抑制，遏制；限制，阻止；约束自己，忍住
discipline n.纪律；训练；自制；克制；（尤指高等教育中的）学科
expense n.开支，花费；代价；价钱；费用
proof n.证据，证明，证物；证词，证言；检验, 证实；校样，样张
hand n.手；支配，掌管；体力劳动者；工作达到一定水平的人，有某一方面知识（或技能）的人
pedestrian adj.行人的；缺乏想象力的，平淡无奇的，乏味的
property n.房地产；个人财产，资产；所有物；【律】所有权，处置权；特性，性质
evidence n.根据；证明；迹象；痕迹
remote adj.（地点）边远的，偏僻的；（电子设备）遥控的，远程的；关系疏远的；（机会、可能性）渺茫的；孤高的，超然的
ethnic adj.（与）种族（有关）的；（与）民族（有关）的
claim v.要求；索取；认领；自称，声称，断言
communicate v.（两个人）沟通；传达，传授，传播（信息，消息，想法）；传递信息，交流信息；通信；通讯；有感染力
insulate v.使隔热；使隔音；使绝缘；使隔绝；使免受（不良影响）
marginal adj.次要的，不重要的；非主要的；（指税款）同收入增长有关的
phase n.阶段，时期
elaborate adj.精巧的；复杂的；详尽的；精心设计（或制作）的
confinement n.限制，禁闭
bureaucracy n.官僚国家，官僚组织；官僚作风
impulse n.冲动，心血来潮；脉冲；刺激；推动力，冲力
productivity n.生产率（尤指工业投入与产出的比率）；生产力，生产能力
guarantee n.保证；担保（书）；保修单起保证作用的事物
sequence n.一系列，一连串；连续事件（或动作，事物）；【生化】序列，顺序；（电影中描述某一组动作的）连续镜头，片段
shrink v.（使）缩水；变小；减少；（尤指人的脸部或其他身体部位因衰老或疾病而）萎缩；起皱纹；皱缩；（使）退缩；（使）畏缩；（使）贬值；回避
novelty n.新奇；新奇性；与众不同；新奇的事物；新鲜事，不同寻常的经历；小装饰
display v.陈列；展示；显示；显露
owe vt.应把…归功于； 欠（债）, 欠（情）
institution n.（以宗教、教育、专业、社交等为目的的）协会，机构；习俗，制度；建立
highlight vt.强调，突出，使显著
mature adj.明白事理的；（经济，行业，市场）成熟的；发育完全的
contest n.争论；争辩；争执；冲突；比赛，竞赛
knit v.编织（衣物、毯子等）；使团结，使联合；皱紧，皱（眉）
figure n.人物（尤指显要人物）；（人、动物的）画像；塑像；（尤指作为官方统计资料的或有关公司财务业绩的）数字；图形；身材，体形
incredibly adv.非常；极其；不能相信地
minority n.少数；少数民族
formulate vt.制订；规划；系统地（或确切地）阐述
chip n.集成电路片，芯片；炸薯条，炸薯片；碎屑，碎片；缺口
cycle n.循环；周期；自行车；摩托车
redundant adj.多余的，过剩的
bud n.花蕾，叶芽
brief adj.短时间的, 短暂的, 简洁的, 简单的
principal n.（中学、学院等的）校长；院长；负责人; 主要演员；本金；委托人； 主犯
gland n.腺
cluster v.群集，丛生；聚集
entail vt.使承担，使成为必需；使成为必然
exploit v.充分利用（资源）；开拓，开采；卑劣（或不公平）地利用（某一情况）；压榨
yield v.生产；产出，提供；带来；放弃；让位；让路；（使）屈服；（使）投降
contention n.（尤指争论中所持的）观点；争论，争辩
sacrifice n.牺牲，供俸，祭品
preserve v.保护，保养；维护，保全，保存；保鲜；腌制
recovery n.恢复，康复，痊愈；回收利用（能源、化工品等）
trait n.（尤指人的）特征，特点；遗传特征
romance n.浪漫史；（尤指充满柔情或理想化的）爱情；浪漫氛围；传奇故事
deliberate adj.故意的；深思熟虑的，非一时冲动的
previous adj.以前的，先前的；上一次的
commitment n.承诺；保证；献身；投入；约定，约束；义务
transit n.运送，运输，运载；【北美】公共交通客运
collect v.积聚；收藏；采集；存储；聚集；使集中；收款
fatigue n.极度疲劳，疲乏，劳累；（肌肉或器官的）疲劳；劳损；（因接触过多导致的）反应迟钝，热情减退
stylish adj.时髦的，入时的，漂亮的
reckon vt.【非正式】以为，认为，想；把…当作；计算，数；估计，判断；指望，盼望；
modification n.修改，更改；改型，改装；改变
specific adj.明确的, 确切的; 具体的; 特定的, 特有的
polar adj.两极的；极地的；（性格、特点或倾向方面）截然相反的；（动物，植物）生活于极地地区的
gear n.排挡；齿轮；传动装置；（某种活动的）设备，用具；衣服
obscure adj.无名的，鲜为人知的；难以理解的
output n.产量；输出，输出功率
stump n.树桩；残根，残余部分
embark vi.上船（或飞机、汽车等）；着手进行，开始从事
wealth n.财富；丰富，大量
despite prep.任凭；尽管
misery n.痛苦，苦恼；苦难；悲惨的境遇
dividend n.被除数；红利；股息；回报，效益
champagne n.香槟酒
grim adj.使人沮丧的；令人担忧的；无情的，严酷的，严苛的
defective adj.有缺陷的，有缺点的
loyalty n.忠诚，忠心
console v.安慰；慰问
dramatically adv.戏剧性地；显著地，突出地
collide v.（偶然）碰撞；严重不一致，抵触
plague n.瘟疫；灾祸
dim adj.（光线等）黯淡的；模糊的；（前景）黯淡的；不乐观的
behave v.（机器）运转，（自然现象）起作用；待人接物；以某种态度对待；表现；守规矩，举止得体
contract n.（尤指雇用、销售或租赁）合同，契约；【旧】婚约
score n.（测试中）评分，得分，分数；比赛中团队（或队员个人）的得分；很多；总谱；伤痕
violent adj.暴力的，暴行的；感情强烈的；剧烈的
tuition n.（尤指大专院校或私立学校的）学费；讲授；教学；指导
consult v.（尤指采取行动前）和…商量，和…商议；请教，求教；向（专家）咨询
paperback n.纸面装订的书；平装书
purchase n.（购）买；所购物品
vigorous adj.用力的；体力的；充满活力的；强壮的；健康的；精力旺盛的
crew n.（船上的）全体船员；（飞机上的）全体机组人员等
resistant adj.抵抗的，反抗的；有抵抗力的；不受…损害的
initial adj.开始的，最初的；字首的
industrial adj.（与）工业（有关）的；以工业为特色的；工业高度发达的；工业用的
beneficial adj.效果好的，有好处的；有利的
identification n.辨认，识别，认出，鉴定；身份证明（尤指官方文件）
decay n.腐败，腐坏，腐烂
define v.下定义；确切说明（或解释）；树立，表明
overwhelm v.使感情上受不了；使不知所措；压倒；制服；使应接不暇；淹没；漫过
default v.违约；不履行义务；默认，预设
biography n.传记
respond v.作答，回答；（人）作出反应；对（刺激）作出快速反应；对（治疗）有积极反应；应对
fulfil vt.履行，实现，完成；满足，使满意
disastrous adj.灾难性的，造成灾害的；极坏的，很糟的
readily adv.乐意地，欣然地；毫不犹豫地，毫不勉强地；不拖延地，迅速地；无困难地，容易地
exotic adj.奇异的；外（国）来的，异国情调的
employ v.雇用；使用，利用
momentum n.动力，冲力，势头；【物理】动量；冲量
testimony n.证据；证明；证词
vary v.（使）改变，使多样化；变化；不同，有差异
entitle v.给（某物）题名；名为；为…命名；给（某人）权利（或资格）；使符合资格
tendency n.趋势，趋向；倾向；习惯
establish v.设立；建立；制定；证实；查明；确定；安置；安顿；使开业；使立足；使稳定
stack n.堆, 叠; 大量; 烟囱, 排气管; (图书馆的)藏书书架, 双面大书架
enlighten v.教育；启发，启蒙；指导
turnover n.营业额，成交量；人员调整，人员更替率
recognition n.认出，识别；承认；确认；认可；赏识；表彰；报偿
combination n.结合；联合；合并；联盟；组合；排列；数字密码
plate n.板, 盘子, 板块, 车牌
discriminate vi.区别，辨别；区别对待，歧视
commonplace adj.平凡的；普通的；普遍的
panic v.（使）惊慌，惊惶失措
stream n.河，溪流；一股，一串
plain n.平原，草原
senator n.参议员
exaggerate v.夸大，夸张
sentence n.句子; 判决, 判刑, 宣判; 命题
custom n.风俗；习俗；习惯；【主英】（顾客经常性的）光顾，惠顾；[pl.]海关；关税
graze v.放牧；吃草；擦伤；【非正式】（人）时不时吃点东西，吃零食
sensation n.感觉，知觉；感觉能力；知觉能力；轰动，哗然，引起轰动的人或事
isolate v.使隔离，使孤立；（化，生）使离析；使分离
logical adj.符合逻辑的，逻辑上的
cherish vt.珍爱，珍视；爱护，抚育；抱有，怀有（希望、想法、感情等）
cafeteria n.自助餐馆，自助食堂
tutor n.家庭教师；私人教师；导师；助教
explore v.探索，探讨；对（不熟悉的地区）进行探险；对…进行考察；研究；评估（选择，可能性）
tank n.坦克；大容器；槽，池塘；（汽车上的）油箱；一箱（或一桶等）的量
responsible adj.对（行为）负道德责任的，有责任感的；负责…的；对…有责任的，有义务的；应受责备；可信任的；引起…的
vicious adj.狂暴的，残酷的；充满仇恨的；〈喻〉严重的；危险的
pledge v.保证，承诺；抵押，典当
factual adj.事实的；据实的；确凿的
indulge v.沉迷于，沉湎于，沉醉于（欲望，兴趣）；沉溺于，肆意享受
scale n.规模；程度；范围；等级；级别；刻度；级别；比例尺；天平，磅秤；（鱼等的）鳞
suppress v.阻碍发展；禁止活动；抑制，忍住；镇压；查禁，封锁
metropolitan adj.大都会的，大城市的；有大城市气派的
inertia n.【物理】惯性
given prep.考虑到；由于
fold vt.折叠，对折
scandal n.丑事，丑闻，丑行
mine pron.我的所有，属我之物；与我有关之物
irrigation n.（尤指利用沟渠）灌溉
lease n.租约，租契
refrain v.忍住，节制，克制；避免
enrich vt.使（某人）富裕（或更富裕）；使富足，使肥沃；改善…的质量（或价值），丰富；添加元素
sake n.为了…目的；为了…的利益；为了；为了某事或某物（本身）；考虑到，为了帮助某人
descendant n.子孙，后裔，后代
recipient n.接受者，接收者；领奖者；接收器；受嘉奖的事物
sympathetic adj.同情的；和谐的；赞同的，支持的；合意的
hemisphere n.（尤指地球的）半球；（脊椎动物的）大脑半球
priority n.优先权；优先事项，优先考虑的事；优先，重点
park n.公园；停车场
drought n.长期干旱；旱灾
mobile adj.可动的, 可移动的; 流动的; 多变的; 行动方便的
motivate v.激发（某人的）兴趣或积极性；激励；使（人）产生动机
instance n.具体情况；例子，事例
brand n.（独特的）一种，一类；独特的个性；自成一格的形象；品牌；同一牌子的商品
pursue v.（长期）追求，寻求，达到（目标）；从事，忙于（活动）；实行，采取（行动路线）；追赶；沿着（小道，路线）前进，延伸
faith n.信任，信赖；信心；信念；信仰；笃信的学说
obligation n.（道义，法律上的）义务（或责任）；承诺
profound adj.深远的，深切的；（状态，品质，情感）巨大的；深刻的；（人，叙述）深邃的；渊博的，见解深刻的；极度的，彻底的
moan vt.呻吟， 哼叫；【非正式】抱怨；发牢骚
dwarf adj.矮小的
remainder n.剩余部分；其他人员；剩余物；剩余时间；差数；余数
summit n.顶点；山顶；政府首脑会议，最高级会议，峰会
limitation n.限制性规定；限定；缺陷，弱点；【律】追诉时效；［常pl.］局限
concept n.观念；概念；（出售或宣传商品的）主意（或发明创造）
endurance n.忍耐力；耐久力
thermal adj.热的；热量的；保暖的；温暖的
depressed adj.（人）沮丧的，消沉的；（人）患抑郁症的
inspire v.激励，激发，鼓舞；引起，导致，使发生
manual adj.手工的，体力的
destruction n.摧毁，彻底毁坏
posture n.姿势，姿态；看法，态度
standpoint n.立场，观点，看法
profitable adj.（生意，活动）有利可图的；有赢利的；有益的；有用的
thorn n.刺，荆棘；带刺小灌木
gauge v.（用仪器）测量；（对形势，心情等）作出判断，猜测
succeed v.成功，达到预期目标；取得预期结果；赢得，获得；继承，接替；继续
last adj.上一次的，最近的；上一个的；惟一的，仅存的；最差的，最低的；最后的
poisonous adj.（物质，植物）有毒的；（动物）有毒的；分泌毒素的，能毒伤人的
blur n.模糊；模糊的东西
exert v.尽（力）；运用，行使；施加（影响）；发挥
creation n.创造；创作；创建；（尤指显示艺术才能的）创造物；（创作的）作品
input n.输入；（工作、信息的）捐献，投入，加入；放入物；带入物；被操作物
schedule n.日程安排（表）；工作计划，计划（表），进度表
forum n.论坛；讨论会；网络论坛
refuge n.避难；庇护；慰藉；庇护者；避难所
illusion n.幻觉，错觉；错误的观念；错误的理解
want vt.想要；需要；渴望
conventional adj.传统的；习惯的，常规的
soil n.泥土，土壤；土地；国土，领土
process n.（自然变化的）过程；步骤，程序；方法
infectious adj.（疾病，致病生物体）传染的，有传染性的
version n.变化形式；变体；型；版本，说法，译本
badly adv.很， 非常， 差； 严重地；糟糕地；拙劣地
divine adj.敬神的；神圣的
disorder n.（身体）失调；（精神）失常；疾病；异常；混乱；骚乱，动乱
inclusive adj.不排斥其中任何团体的，不排斥任何一方的；一切服务（或项目）包含在内的
sensible adj.（人）明智的；审慎的；有益的；合理的，切合实际的；朴素而实用的
climate n.气候；（某气候占主导的）地区，地带；风气，气氛
discharge v.允许离开（医院、军队）；排出，放出
manipulate v.熟练地操作，使用；操纵，控制（人或局势）
witness n.证据；目击者，证人
consolidate v.巩固；强化；使坚强；使结实；联合，统一
monster n.怪物；怪兽；恶人
confident adj.自信的；有信心的；确信的，肯定的
caution v.警告，提醒，告诫
tribe n.部落，宗族
clerk n.职员，档案管理员，管账员，办事员，店员；（议会、法院等的）书记员
various adj.不同的；各种各样的；不只一个的，各别的
overflow v.溢出；挤满；泛滥；【喻】充满；洋溢（感情，品质）
notable adj.值得注意的；显著的；重要的
companion n.同伴，伴侣；同行者；成对物之一；成套物之一
engine n.发动机，引擎；机车，火车头；工具，手段
reject v.拒绝，抵制；不予考虑；不录用；排斥，排异
boom n.迅速增长，繁荣 （期）；隆隆声，嗡嗡声
submit v.提交，呈递；顺从，屈服，投降
psychological adj.（疾病，问题）心理上的（而非生理上的），精神的；心理学的
sip v.小口地喝，抿，呷
rip v.撕破；猛地扯开；突然拉开
strategy n.战略，策略
patent n.专利（权）；专利证
detach v.（使）分离，分开，拆卸；离开（地方），脱离（组织）
eloquent adj.雄辩的，口才流利的，有说服力的；明白显示出的
prevailing adj.盛行的，流行的，占优势的
gross adj.（收入、利润或利息）毛的；总共的；恶心的；严重的；明目张胆的，不能让人接受的
content adj.愿接受的；心满意足的
impose v.把…强加（于）；要求履行（义务），要求付（费），要求接受（惩罚）；征税；施加影响
corporate adj.（与）大公司（或大团体）（有关）的
reference n.参考，查阅；提及，谈到；查询；查询编号；推荐人；（前雇主证明求职者德才的）证明信，介绍信；引文；引证，引用资料
destination n.目的地，送达地点
implement vt.贯彻，实行，履行（决定、计划、协议等）
fiber n.【美】（饮食）纤维素，同 fibre；纤维；（织物或绳等）纤维制品
premium n.保险费；额外费用，加付款；奖品，赠品，额外津贴；【股票】（高出发行价格、面值或财产实际价值的）溢价
partnership n.合伙（关系），合伙经营（的企业），合伙人身份
rebel n.反叛分子，造反者，叛逆者，起义者
insurance n.保险；保险业
confer vt.授予（头衔，学位，利益，权利）；商谈，商议
vacancy n.空白，空缺
enforce v.实施，执行；强迫，迫使
mission n.任务；代表团；使命，天职；航天飞行
justify v.说明；证明正确（或合理）
mere adj.只不过，仅仅（用于强调小或微不足道）
buzz v.发出嗡嗡声；繁忙；（飞机）飞过，飞近
dominant adj.首要的，主导的，占支配地位的，占优势的
turbulent adj.冲突的，动荡的，混乱的，失控的
rough adj.粗糙的，不平滑的，高低不平的；初步的；粗率的；不确切的，粗略的；大致的
virgin n.处女；童男；无经验的人；新手
formula n.公式；方案；配方（愚蠢或盲目遵守的）常规，惯例；老一套
epidemic n.流行病；（传染病的）流行，传播；流传，盛行
fund n.资金，财源；基金，专款
inventory n.存货，库存
formal adj.正式批准（或认可）的；正规的；正式的
intimate adj.（指地方或环境）亲密融洽的，宜人放松的；私下的，个人的，隐私的
haven n.安全的地方，避难所，庇护所
harmony n.协调，和谐，统一；和睦（的状态）
immune adj.免疫的; 有免疫力的; 免除的, 豁免的; 可防止的; 不受影响的
ignore vt.不顾，不理，无视，忽视；忽略（要点）
minimum n.最小数；最少量；最低限度
displace v.取代，替代；转移；迫使（某人）离开家园
shepherd n.牧羊人，羊倌
ego n.自我，自己；自尊心；自我意识
jury n.陪审团，评奖团
trial n.考验，试验，测试；审判；（对人的忍耐、自制力的）考验，磨练
testify v.作证；证实；证明
dispatch v.派遣；发送，派送；处决
offset v.抵消；弥补；补偿
expire v.失效，终止；到期；届满；逝世
definitely adv.明确地；清楚地；一定地，肯定（用于强调）
shipment n.运输，装运；托运；装载的货物量；
deliver v.投递，送交，递送；提供，兑现；不负所望；履行诺言；讲，发表；分娩
employment n.职业，工作；雇用；受雇
twist v.拧，缠绕；扭伤（关节）
vicinity n.周围地区；邻近地区；附近
elegant adj.（外观或举止）优雅的；雅致的，讲究的；精美的；俊美的；简练的，简洁的
hesitate v.（说话或做事前）犹豫，停顿；勉强，不情愿
preference n.喜好；偏好；更加喜爱；偏爱；偏爱的事物
fabric n.结构；织物，织品
insight n.洞察力，洞悉；领悟；深刻见解
limb n.（人、四足动物的）肢，肢体；（鸟的）翼；树枝，树杈
belly n.肚子，腹部
innovative adj.（产品、观念等）革新的；创新的；（人）引进新观念的；富有创新精神的
paradox n.似非而是的说法；似矛盾而（可能）正确的论点；自相矛盾的人（或事物）；引出自相矛盾的结论的论点
juggle v.（用球等）玩杂耍；篡改（数字等）以图掩盖；力图使平衡，尽力应付
resign v.辞职；辞去，放弃；使顺从
terrific adj.【非正式】非常好的，了不起的；极大的
spare adj.备用的；多余的，闲置的；空闲的；休闲的；简洁的
critic n.（文艺作品的）评论家，尤指职业评论家；批评者
realistic adj.现实的；实际可行的；实事求是的；注重实际的；明智的，恰如其分的；逼真的，栩栩如生的
virtual adj.虚拟的, 模拟的; 实际上的, 实质上的
initiative n.主动性，积极性；对策；新举措；计划；先机
ticket n.票，券；车票；入场券；票证；奖券，彩票；达到目的的方法（或手段、途径）；交通罚单
extract v.（费力）取出，拔出；提取，提炼；榨取；摘录；推断出，引申出，总结出（想法）；设法得到；开方，求根
disregard v.忽视，不顾，不理会
fantastic adj.【非正式】了不起的，极出色的，极好的；很大的；大得难以置信的
crop n.作物，庄稼；（作物的）收成；产量
supplement v.补充，增补
skeptical adj.【美】不相信的，持怀疑态度的（同 sceptical）
furious adj.狂怒的，暴怒的；激烈的，猛烈的
proclaim vt.宣告， 宣布； 表明， 声明；强调；声称
vain adj.徒劳的；自负的
doctrine n.教义，主义，学说，信条
transaction n.交易，业务；处理，办理
pharmacy n.药方，药店；药剂学；制药业；一批备用的药品
slight adj.少量的；轻微的；细小的；纤细的
exemplify v.是…的例证（或榜样）
melt v.（使）融化；（使）熔化
item n.（一些物品中的一个）物品；项目；条款
consistent adj.（性质、标准或效果上）不变的，始终如一的；一致的，符合的；和谐的，协调的
repay v.付还，偿还（贷款）；酬报，报答
promote v.加强（事业、企业等）；增进，促进；晋升，提升，提拔；宣传，推销（产品，组织，企业）
cast v.抛弃；投射（光，影）；为（戏剧、角色）选派演员
discard vt.丢弃，抛弃，遗弃
economy n.经济；经济制度（或结构、情况）；简练，简洁；钱财的节约（或节省）
derive v.从…得出，源自；从…中获得（或取得）
desirable adj.合意的，理想的，可取的
disapprove v.不赞成，不同意，否决
divorce n.离婚，离异；分离，脱离
critical adj.关键的；决定性的；评判客观的，审慎的；（人）病情严重的；病危的
sheer adj.纯粹的，完全的，十足的（用于强调）；垂直的，陡峭的；轻薄透明的
imply v.暗示；暗指
minimize v.使…减少到最小；贬低，使显得不重要
crash n.（多指车辆与车辆或物）猛撞，碰撞；巨大声响；（飞机的）坠毁；（某物价值或价格的）暴跌；狂跌
layer n.层，覆盖层，涂层；层次, 表层, 阶层
company n.公司，商号；陪伴，伴随；交往；一群人；一群, 一伙；【军】连
collapse v.突然失败；崩溃；倒闭；（因生病或受伤而）昏倒；（价格）突然下跌；（货币）突然贬值；
excess n.过量；过多；过度；超过部分；超过的量；无节制；（尤指吃喝）无度
cope v.（人）应付；（妥善）处理
destructive adj.破坏（性）的；毁灭（性）的
prevail vi.流行, 盛行; 获胜; 占优势, 占上风; 成功; 奏效
prestige n.威信，声望，威望；（作定语）气派的，体面的
prospective adj.预期的，盼望中的；未来的；可能的
slip v.滑跤，滑落；（逐渐地或不知不觉地）下降，下跌；迅速穿上或脱下（衣服）；迅速放置（某物）；偷偷塞；悄悄给
definition n.定义；确切描述，明确描述；清晰度
imitation n.模仿，效仿；赝品，仿品
origin n.来源；起点；出身；血统
upgrade v.使升级，提升，改进；提高（飞机乘客、旅馆住客等的）待遇；优待；提高（设施、服务等的）档次；改善；使升格；使（雇员）升职
compute v.估计，估算；计算（数字，数量）
devise vt.策划；发明；想出（复杂的程序、系统或机制）；遗赠
compare vt.比较；对照；相比；与…类似；把…比作
collaborate v.合作，协作；通敌
eruption n.爆发
parallel adj.平行的；类似的，对应的；并列的，并联的
comply v.依从，顺从；遵从；服从
eject v.驱逐，赶走（某人）；弹出，弹射出；喷出
tragic adj.悲剧的，悲惨的，可悲的
clinical adj.临床的，临诊的
toss v.掷，扔，抛；摇匀；甩头；掷硬币决定
depict vt.（用绘画或其他艺术形式）表现，描绘
sort n.一类人（或事）；种类；排序，分类
certify vt.正式证明（某人，某物）具有某种资格（或达到某标准）；发证书（或执照）给
explicit adj.详述的；明晰的；易于理解的；明确的；直言的
pirate n.海盗；盗版者，盗印者，侵权者
regulation n.管理，控制；调节；校正；监控；规章，规则，规定，指令
internal adj.存在于组织内的，组织内发生的；内的，内部的；体内的
statement n.声明，陈述；（对事实、观点或计划的正式）官方声明；报道
heir n.继承人（在某人死后合法继承其财产或头衔）
surge n.（感情等的）洋溢，奔放；急剧上升，猛增；浪涛般汹涌奔腾
